2018-05-17T08:00:09.741+0000 I CONTROL  [initandlisten] MongoDB starting : pid=30 port=27017 dbpath=/mongo/mem 64-bit host=node2
2018-05-17T08:00:09.742+0000 I CONTROL  [initandlisten] db version v3.6.4
2018-05-17T08:00:09.743+0000 I CONTROL  [initandlisten] git version: d0181a711f7e7f39e60b5aeb1dc7097bf6ae5856
2018-05-17T08:00:09.743+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-05-17T08:00:09.743+0000 I CONTROL  [initandlisten] modules: none
2018-05-17T08:00:09.744+0000 I CONTROL  [initandlisten] build environment:
2018-05-17T08:00:09.745+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-17T08:00:09.745+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-17T08:00:09.746+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "0.0.0.0", port: 27017 }, replication: { replSet: "rs0" }, storage: { dbPath: "/mongo/mem" } }
2018-05-17T08:00:09.746+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),cache_cursors=false,log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-17T08:00:10.351+0000 I STORAGE  [initandlisten] WiredTiger message [1526544010:351759][30:0x7f2cc03349c0], txn-recover: Set global recovery timestamp: 0
2018-05-17T08:00:10.355+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:10.355+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-05-17T08:00:10.355+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-05-17T08:00:10.356+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2018-05-17T08:00:10.356+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:10.358+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with no UUID.
2018-05-17T08:00:10.370+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/mongo/mem/diagnostic.data'
2018-05-17T08:00:10.370+0000 I STORAGE  [initandlisten] createCollection: local.me with no UUID.
2018-05-17T08:00:10.372+0000 I STORAGE  [initandlisten] createCollection: local.replset.minvalid with no UUID.
2018-05-17T08:00:10.374+0000 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-05-17T08:00:10.374+0000 I REPL     [initandlisten] Did not find local Rollback ID document at startup. Creating one.
2018-05-17T08:00:10.375+0000 I STORAGE  [initandlisten] createCollection: local.system.rollback.id with no UUID.
2018-05-17T08:00:10.377+0000 I REPL     [initandlisten] Initialized the rollback ID to 1
2018-05-17T08:00:10.377+0000 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-05-17T08:00:10.378+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-05-17T08:00:13.909+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:41628 #1 (1 connection now open)
2018-05-17T08:00:13.909+0000 I NETWORK  [conn1] end connection 172.23.0.2:41628 (0 connections now open)
2018-05-17T08:00:13.915+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:41632 #2 (1 connection now open)
2018-05-17T08:00:13.915+0000 I NETWORK  [conn2] received client metadata from 172.23.0.2:41632 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-17T08:00:13.917+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-17T08:00:13.927+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to node1:27017, took 10ms (1 connections now open to node1:27017)
2018-05-17T08:00:15.938+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:34544 #3 (2 connections now open)
2018-05-17T08:00:15.938+0000 I STORAGE  [replexec-0] createCollection: local.system.replset with no UUID.
2018-05-17T08:00:15.941+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs0", version: 1, protocolVersion: 1, members: [ { _id: 0, host: "node1:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "node2:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "node3:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5afd368d6542631ece31af66') } }
2018-05-17T08:00:15.943+0000 I REPL     [replexec-0] This node is node2:27017 in the config
2018-05-17T08:00:15.944+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-05-17T08:00:15.947+0000 I REPL     [replexec-0] Starting replication storage threads
2018-05-17T08:00:15.948+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node3:27017
2018-05-17T08:00:15.952+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:34546 #4 (2 connections now open)
2018-05-17T08:00:15.953+0000 I STORAGE  [replexec-0] createCollection: local.temp_oplog_buffer with no UUID.
2018-05-17T08:00:15.953+0000 I REPL     [replexec-1] Member node1:27017 is now in state SECONDARY
2018-05-17T08:00:15.942+0000 I NETWORK  [conn3] end connection 172.23.0.3:34544 (1 connection now open)
2018-05-17T08:00:15.957+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to node3:27017, took 9ms (1 connections now open to node3:27017)
2018-05-17T08:00:15.959+0000 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
2018-05-17T08:00:15.960+0000 I NETWORK  [conn4] received client metadata from 172.23.0.3:34546 conn4: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-17T08:00:15.960+0000 I REPL     [replexec-1] Member node3:27017 is now in state STARTUP2
2018-05-17T08:00:15.961+0000 I STORAGE  [replication-0] Finishing collection drop for local.temp_oplog_buffer (no UUID).
2018-05-17T08:00:15.962+0000 I STORAGE  [replication-0] createCollection: local.temp_oplog_buffer with no UUID.
2018-05-17T08:00:15.965+0000 I REPL     [replication-0] sync source candidate: node1:27017
2018-05-17T08:00:15.966+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.966+0000 I REPL     [replication-0] creating replication oplog of size: 990MB...
2018-05-17T08:00:15.966+0000 I STORAGE  [replication-0] createCollection: local.oplog.rs with no UUID.
2018-05-17T08:00:15.968+0000 I STORAGE  [replication-0] Starting WiredTigerRecordStoreThread local.oplog.rs
2018-05-17T08:00:15.968+0000 I STORAGE  [replication-0] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2018-05-17T08:00:15.969+0000 I STORAGE  [replication-0] Scanning the oplog to determine where to place markers for truncation
2018-05-17T08:00:15.975+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.975+0000 I STORAGE  [replication-0] dropAllDatabasesExceptLocal 1
2018-05-17T08:00:15.976+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.979+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 3ms (1 connections now open to node1:27017)
2018-05-17T08:00:15.982+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.985+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 3ms (2 connections now open to node1:27017)
2018-05-17T08:00:15.986+0000 I REPL     [replication-1] CollectionCloner::start called, on ns:admin.system.version
2018-05-17T08:00:15.988+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.989+0000 I STORAGE  [repl writer worker 1] createCollection: admin.system.version with provided UUID: 95d22b72-a137-43fb-ad92-3cdda29c47a7
2018-05-17T08:00:15.992+0000 I INDEX    [repl writer worker 1] build index on: admin.system.version properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "admin.system.version" }
2018-05-17T08:00:15.992+0000 I INDEX    [repl writer worker 1] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-05-17T08:00:15.994+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 6ms (3 connections now open to node1:27017)
2018-05-17T08:00:15.995+0000 I COMMAND  [repl writer worker 2] setting featureCompatibilityVersion to 3.6
2018-05-17T08:00:15.996+0000 I NETWORK  [repl writer worker 2] Skip closing connection for connection # 4
2018-05-17T08:00:15.996+0000 I NETWORK  [repl writer worker 2] Skip closing connection for connection # 2
2018-05-17T08:00:15.997+0000 I REPL     [repl writer worker 2] CollectionCloner ns:admin.system.version finished cloning with status: OK
2018-05-17T08:00:15.998+0000 I REPL     [repl writer worker 2] Finished cloning data: OK. Beginning oplog replay.
2018-05-17T08:00:15.999+0000 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp(1526544013, 1) })
2018-05-17T08:00:16.002+0000 I COMMAND  [replication-0] Assigning UUID a00aab98-2f88-4823-8870-b64911bb8d9e to collection local.system.rollback.id
2018-05-17T08:00:16.002+0000 I COMMAND  [replication-0] Assigning UUID 5cfbf11b-62c8-4da0-9594-f9e776be33f0 to collection local.temp_oplog_buffer
