2018-05-24T06:43:05.774+0000 I CONTROL  [initandlisten] MongoDB starting : pid=41 port=27017 dbpath=/mongo/mem 64-bit host=node2
2018-05-24T06:43:05.775+0000 I CONTROL  [initandlisten] db version v3.6.4
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] git version: d0181a711f7e7f39e60b5aeb1dc7097bf6ae5856
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] modules: none
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] build environment:
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "0.0.0.0", port: 27017 }, replication: { replSet: "rs0" }, storage: { dbPath: "/mongo/mem" } }
2018-05-24T06:43:05.778+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),cache_cursors=false,log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-24T06:43:06.383+0000 I STORAGE  [initandlisten] WiredTiger message [1527144186:383962][41:0x7f78b33219c0], txn-recover: Set global recovery timestamp: 0
2018-05-24T06:43:06.389+0000 I CONTROL  [initandlisten] 
2018-05-24T06:43:06.396+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-05-24T06:43:06.396+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-05-24T06:43:06.396+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2018-05-24T06:43:06.397+0000 I CONTROL  [initandlisten] 
2018-05-24T06:43:06.400+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with no UUID.
2018-05-24T06:43:06.404+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/mongo/mem/diagnostic.data'
2018-05-24T06:43:06.415+0000 I STORAGE  [initandlisten] createCollection: local.me with no UUID.
2018-05-24T06:43:06.418+0000 I STORAGE  [initandlisten] createCollection: local.replset.minvalid with no UUID.
2018-05-24T06:43:06.421+0000 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-05-24T06:43:06.422+0000 I REPL     [initandlisten] Did not find local Rollback ID document at startup. Creating one.
2018-05-24T06:43:06.423+0000 I STORAGE  [initandlisten] createCollection: local.system.rollback.id with no UUID.
2018-05-24T06:43:06.425+0000 I REPL     [initandlisten] Initialized the rollback ID to 1
2018-05-24T06:43:06.426+0000 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-05-24T06:43:06.427+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-05-24T06:43:10.994+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:46010 #1 (1 connection now open)
2018-05-24T06:43:11.006+0000 I NETWORK  [conn1] end connection 172.23.0.2:46010 (0 connections now open)
2018-05-24T06:43:11.009+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:46014 #2 (1 connection now open)
2018-05-24T06:43:11.018+0000 I NETWORK  [conn2] received client metadata from 172.23.0.2:46014 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-24T06:43:11.021+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-24T06:43:11.025+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to node1:27017, took 4ms (1 connections now open to node1:27017)
2018-05-24T06:43:13.116+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:57236 #3 (2 connections now open)
