2018-06-12 16:50:47,534{GMT}	INFO	[jepsen test runner] jepsen.core: Running test:
 {:concurrency 12,
 :db
 #object[jepsen.db$reify__1266 0x1716e8c5 "jepsen.db$reify__1266@1716e8c5"],
 :name "memdb",
 :start-time
 #object[org.joda.time.DateTime 0x2f4c2cd4 "2018-06-12T16:50:47.000Z"],
 :net
 #object[jepsen.net$reify__378 0x50fb33a "jepsen.net$reify__378@50fb33a"],
 :client {},
 :barrier
 #object[java.util.concurrent.CyclicBarrier 0x60c8a093 "java.util.concurrent.CyclicBarrier@60c8a093"],
 :checker
 #object[jepsen.checker$compose$reify__3207 0x291373d3 "jepsen.checker$compose$reify__3207@291373d3"],
 :nemesis
 #object[mongo_http.isolate$nemesis$reify__2606 0x4dba773d "mongo_http.isolate$nemesis$reify__2606@4dba773d"],
 :active-histories #<Atom@5ea4300e: #{}>,
 :nodes ["node1" "node2" "node3"],
 :generator
 #object[jepsen.generator$time_limit$reify__1895 0x12eedfee "jepsen.generator$time_limit$reify__1895@12eedfee"],
 :os
 #object[jepsen.os$reify__1183 0xb887730 "jepsen.os$reify__1183@b887730"],
 :model {:value 0}}

2018-06-12 16:50:48,357{GMT}	INFO	[jepsen nemesis] jepsen.core: Nemesis starting
2018-06-12 16:50:48,365{GMT}	INFO	[jepsen worker 0] jepsen.core: Worker 0 starting
2018-06-12 16:50:48,367{GMT}	INFO	[jepsen worker 1] jepsen.core: Worker 1 starting
2018-06-12 16:50:48,377{GMT}	INFO	[jepsen worker 2] jepsen.core: Worker 2 starting
2018-06-12 16:50:48,380{GMT}	INFO	[jepsen worker 3] jepsen.core: Worker 3 starting
2018-06-12 16:50:48,391{GMT}	INFO	[jepsen worker 4] jepsen.core: Worker 4 starting
2018-06-12 16:50:48,415{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:48,418{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:write	["node1" 0]
2018-06-12 16:50:48,418{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:invoke	:write	["node2" 0]
2018-06-12 16:50:48,419{GMT}	INFO	[jepsen worker 5] jepsen.core: Worker 5 starting
2018-06-12 16:50:48,422{GMT}	INFO	[jepsen worker 6] jepsen.core: Worker 6 starting
2018-06-12 16:50:48,425{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:read	["node1" nil]
2018-06-12 16:50:48,426{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:invoke	:read	["node1" nil]
2018-06-12 16:50:48,429{GMT}	INFO	[jepsen worker 7] jepsen.core: Worker 7 starting
2018-06-12 16:50:48,431{GMT}	INFO	[jepsen worker 8] jepsen.core: Worker 8 starting
2018-06-12 16:50:48,436{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
